sIdx,Time,Unit
S1,9,Hours
S2,9,Hours
S3,9,Hours
S4,7,Hours
S5,7,Hours
S6,7,Hours
S7,5,Hours
S8,5,Hours
S9,5,Hours
S10,0,Hours
S11,0,Hours
S12,0,Hours
S13,4,Hours
S14,4,Hours
S15,4,Hours
S16,6,Hours
S17,6,Hours
S18,6,Hours
S19,8,Hours
S20,8,Hours
S21,8,Hours
S22,10,Hours
S23,10,Hours
S24,10,Hours
S25,12,Hours
S26,12,Hours
S27,12,Hours
S28,11,Hours
S29,11,Hours
S30,11,Hours
